"","HA","HB","HI","HL","HS","HT","MA","MB","MI","ML","MS","MT"
"KEGG Allograft rejection",0.000172413793103448,0.698965517241379,0.44051724137931,0.025,0.551206896551724,0.726551724137931,0.073448275862069,0.647586206896552,0.423965517241379,0.00137931034482759,0.326551724137931,0.271379310344828
"KEGG Graft-versus-host disease",0.000192307692307692,0.747884615384615,0.458269230769231,0.0280769230769231,0.631538461538461,0.707307692307692,0.0748076923076923,0.700384615384615,0.441346153846154,0.000961538461538461,0.356346153846154,0.286730769230769
"KEGG Hematopoietic cell lineage",0,0.708493150684931,0.484383561643836,0.0398630136986301,0.519041095890411,0.786986301369863,0.0628082191780822,0.40013698630137,0.544041095890411,6.84931506849315e-05,0.201643835616438,0.248630136986301
"KEGG Ribosome biogenesis in eukaryotes",0,0.869189189189189,0.37,0.0564864864864865,0.495135135135135,0.813378378378378,0.101486486486486,0.32,0.265,0.000135135135135135,0.159054054054054,0.231351351351351
"KEGG Protein processing in endoplasmic reticulum",0,0.646386554621849,0.294411764705882,0.0686554621848739,0.364663865546218,0.785084033613445,0.0971848739495798,0.397899159663866,0.30109243697479,0,0.248109243697479,0.125336134453782
"KEGG Ubiquitin mediated proteolysis",0,0.699230769230769,0.270054945054945,0.0492857142857143,0.439010989010989,0.824945054945055,0.0814835164835165,0.34489010989011,0.426648351648352,0.00807692307692308,0.200989010989011,0.130659340659341
"KEGG Leukocyte transendothelial migration",0,0.705505617977528,0.35123595505618,0.0901123595505618,0.420112359550562,0.839157303370787,0.0455056179775281,0.356741573033708,0.584438202247191,0.00398876404494382,0.345112359550562,0.166179775280899
"KEGG Ribosome",0,0.91547619047619,0.704642857142857,0.0055952380952381,0.666071428571429,0.703690476190476,0.0711904761904762,0.112380952380952,0.23,0.000119047619047619,0.158571428571429,0.122261904761905
"KEGG Cell cycle",5.20833333333333e-05,0.670989583333333,0.348541666666667,0.0538541666666667,0.4071875,0.72703125,0.0721875,0.363125,0.377395833333333,0.000885416666666667,0.21671875,0.136302083333333
"KEGG NOD-like receptor signaling pathway",0,0.82525,0.44125,0.08475,0.50025,0.79575,0.08875,0.389125,0.461125,0.01825,0.271,0.123875
"KEGG Lysosome",0,0.730645161290323,0.43510752688172,0.103870967741935,0.489784946236559,0.791075268817204,0.0852150537634409,0.372741935483871,0.562043010752688,0.00204301075268817,0.306236559139785,0.163870967741935
"KEGG Bacterial invasion of epithelial cells",0,0.644732142857143,0.342767857142857,0.0954464285714286,0.438928571428571,0.811517857142857,0.0447321428571429,0.291875,0.51625,0.000178571428571429,0.258035714285714,0.182946428571429
"KEGG Spliceosome",0,0.698958333333333,0.302638888888889,0.103472222222222,0.365208333333333,0.777708333333333,0.099375,0.295208333333333,0.2125,6.94444444444444e-05,0.179583333333333,0.226805555555556
"KEGG Shigellosis",0,0.763653846153846,0.392211538461538,0.0849038461538461,0.517788461538462,0.829807692307692,0.0822115384615385,0.394807692307692,0.552211538461538,0.00115384615384615,0.246923076923077,0.166634615384615
"KEGG Adherens junction",0,0.7353125,0.31671875,0.083359375,0.48046875,0.787890625,0.0478125,0.241796875,0.49109375,0.000390625,0.251640625,0.150234375
"KEGG p53 signaling pathway",8.7719298245614e-05,0.698333333333333,0.341052631578947,0.0536842105263158,0.428333333333333,0.685087719298246,0.0828070175438596,0.416666666666667,0.340438596491228,0.00201754385964912,0.17719298245614,0.100789473684211
"KEGG Epithelial cell signaling in Helicobacter pylori infection",0,0.720877192982456,0.38219298245614,0.0626315789473684,0.500964912280702,0.747456140350877,0.0649122807017544,0.327719298245614,0.454473684210526,0.0012280701754386,0.256228070175439,0.213245614035088
"KEGG Vibrio cholerae infection",0,0.701904761904762,0.481309523809524,0.0778571428571429,0.563214285714286,0.791785714285714,0.0629761904761905,0.249880952380952,0.416428571428571,0.000476190476190476,0.257142857142857,0.202261904761905
"KEGG Natural killer cell mediated cytotoxicity",0,0.753241758241758,0.388681318681319,0.0863736263736264,0.506483516483517,0.809395604395604,0.0904395604395604,0.449450549450549,0.508846153846154,0.000824175824175824,0.302747252747253,0.205549450549451
"Reactome Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0,0.768695652173913,0.538478260869565,0.068695652173913,0.589565217391304,0.824130434782609,0.0869565217391304,0.682826086956522,0.716739130434783,0.0102173913043478,0.341086956521739,0.227608695652174
"Reactome Antimicrobial peptides",0,0.756964285714286,0.534464285714286,0.0369642857142857,0.587321428571429,0.74875,0.0903571428571429,0.432857142857143,0.623392857142857,0.000892857142857143,0.385,0.184107142857143
"Reactome Antiviral mechanism by IFN-stimulated genes",0,0.615625,0.358125,0.178392857142857,0.439375,0.758392857142857,0.0882142857142857,0.324375,0.313928571428571,8.92857142857143e-05,0.297321428571429,0.202767857142857
"Reactome Apoptosis",0,0.715985401459854,0.282080291970803,0.0629197080291971,0.416970802919708,0.824452554744526,0.0652554744525548,0.397445255474453,0.36478102189781,0.00135036496350365,0.229379562043796,0.140912408759124
"Reactome Apoptotic execution phase",0,0.685526315789474,0.279078947368421,0.0880263157894737,0.482763157894737,0.796447368421053,0.0289473684210526,0.423815789473684,0.401315789473684,0.000263157894736842,0.236578947368421,0.227631578947368
"Reactome Apoptotic factor-mediated response",0,0.764615384615385,0.406923076923077,0.0323076923076923,0.426538461538462,0.900769230769231,0.109230769230769,0.339230769230769,0.457307692307692,0.00461538461538461,0.214615384615385,0.0534615384615385
"Reactome Autophagy",0,0.713602941176471,0.350808823529412,0.0931617647058823,0.430220588235294,0.846323529411765,0.0508088235294118,0.332573529411765,0.36875,0.000220588235294118,0.2775,0.174117647058824
"Reactome C-type lectin receptors (CLRs)",0,0.6967,0.2876,0.08195,0.38165,0.8326,0.08235,0.3791,0.3524,0.00405,0.20145,0.15335
"Reactome CD209 (DC-SIGN) signaling",0,0.856875,0.4778125,0.115625,0.6275,0.8390625,0.1009375,0.33,0.4428125,0.00375,0.111875,0.138125
"Reactome CLEC7A (Dectin-1) signaling",0,0.701730769230769,0.229679487179487,0.0738461538461539,0.349102564102564,0.856217948717949,0.0879487179487179,0.412692307692308,0.315192307692308,0.00519230769230769,0.201923076923077,0.163974358974359
"Reactome Cap-dependent Translation Initiation",0,0.888059701492537,0.614701492537313,0.0353731343283582,0.572462686567164,0.732611940298508,0.0771641791044776,0.128955223880597,0.280373134328358,7.46268656716418e-05,0.14044776119403,0.126119402985075
"Reactome Cell death signalling via NRAGE, NRIF and NADE",0,0.753510638297872,0.246595744680851,0.069468085106383,0.462872340425532,0.725957446808511,0.0791489361702128,0.398723404255319,0.430212765957447,0.00691489361702128,0.322872340425532,0.106914893617021
"Reactome Cell surface interactions at the vascular wall",4.76190476190476e-05,0.639523809523809,0.309761904761905,0.040047619047619,0.42,0.76447619047619,0.0793333333333333,0.310428571428571,0.474285714285714,0.00080952380952381,0.242571428571429,0.225047619047619
"Reactome Cell-extracellular matrix interactions",0,0.483571428571429,0.533571428571429,0.1625,0.461428571428571,0.903214285714286,0.00607142857142857,0.247142857142857,0.688214285714286,0,0.3575,0.382857142857143
"Reactome Cellular Senescence",5.15463917525773e-05,0.753917525773196,0.352371134020619,0.0610309278350515,0.475154639175258,0.72479381443299,0.0918041237113402,0.365463917525773,0.417371134020619,0.000876288659793814,0.155927835051546,0.151237113402062
"Reactome Cellular response to heat stress",0,0.775238095238095,0.396190476190476,0.0885714285714286,0.494444444444444,0.808888888888889,0.0732539682539683,0.354444444444444,0.339920634920635,0.000714285714285714,0.179126984126984,0.172301587301587
"Reactome Costimulation by the CD28 family",9.80392156862745e-05,0.666176470588235,0.362352941176471,0.0154901960784314,0.534607843137255,0.738921568627451,0.048921568627451,0.515098039215686,0.550588235294118,0.000980392156862745,0.268823529411765,0.137843137254902
"Reactome Cytosolic sensors of pathogen-associated DNA ",0,0.736153846153846,0.337564102564103,0.06,0.449230769230769,0.809615384615385,0.08,0.353974358974359,0.382179487179487,0.00435897435897436,0.202179487179487,0.149487179487179
"Reactome DAP12 interactions",0,0.722692307692308,0.375961538461538,0.0478846153846154,0.497115384615385,0.834230769230769,0.0771153846153846,0.521346153846154,0.605961538461538,0.02,0.296346153846154,0.231730769230769
"Reactome DAP12 signaling",0,0.699583333333333,0.365625,0.0322916666666667,0.490208333333333,0.820416666666667,0.0814583333333333,0.514583333333333,0.573125,0.0216666666666667,0.287916666666667,0.250208333333333
"Reactome Death Receptor Signalling",0,0.710157894736842,0.251526315789474,0.0750526315789474,0.462736842105263,0.781578947368421,0.100578947368421,0.397315789473684,0.374684210526316,0.00863157894736842,0.278684210526316,0.150526315789474
"Reactome Defensins",0,0.7885,0.5655,0.0845,0.528,0.675,0.1395,0.5375,0.525,0.001,0.3825,0.1905
"Reactome Diseases associated with the TLR signaling cascade",0,0.835,0.604285714285714,0.0471428571428571,0.660714285714286,0.913809523809524,0.142142857142857,0.613571428571429,0.557142857142857,0.00261904761904762,0.165,0.182380952380952
"Reactome Diseases of Immune System",0,0.835,0.604285714285714,0.0471428571428571,0.660714285714286,0.913809523809524,0.142142857142857,0.613571428571429,0.557142857142857,0.00261904761904762,0.165,0.182380952380952
"Reactome Downstream TCR signaling",0,0.710878378378378,0.297297297297297,0.0473648648648649,0.4175,0.808783783783784,0.0802027027027027,0.421283783783784,0.368648648648649,0.00493243243243243,0.2,0.144797297297297
"Reactome Downstream signaling events of B Cell Receptor (BCR)",0,0.714538461538462,0.199692307692308,0.0890769230769231,0.346384615384615,0.824307692307692,0.0824615384615385,0.382384615384615,0.276,0.00192307692307692,0.184615384615385,0.154615384615385
"Reactome Early Phase of HIV Life Cycle",0,0.880454545454545,0.438636363636364,0.0254545454545455,0.488181818181818,0.412272727272727,0.0527272727272727,0.534545454545455,0.543181818181818,0,0.215,0.204090909090909
"Reactome Endosomal/Vacuolar pathway",0,0.630625,0.020625,0.0775,0.1475,0.8725,0.060625,0.750625,0.3625,0.064375,0.5,0.73125
"Reactome Energy dependent regulation of mTOR by LKB1-AMPK",0,0.804230769230769,0.405769230769231,0.125,0.431153846153846,0.910384615384615,0.118461538461538,0.521923076923077,0.275384615384615,0.000769230769230769,0.266923076923077,0.0965384615384615
"Reactome Eukaryotic Translation Elongation",0,0.910111111111111,0.706666666666667,0.0265555555555556,0.674222222222222,0.708444444444444,0.0705555555555556,0.109777777777778,0.244,0.000111111111111111,0.195555555555556,0.121777777777778
"Reactome Eukaryotic Translation Initiation",0,0.888059701492537,0.614701492537313,0.0353731343283582,0.572462686567164,0.732611940298508,0.0771641791044776,0.128955223880597,0.280373134328358,7.46268656716418e-05,0.14044776119403,0.126119402985075
"Reactome Eukaryotic Translation Termination",0,0.910888888888889,0.706888888888889,0.00533333333333333,0.640888888888889,0.698666666666667,0.072,0.136888888888889,0.256444444444444,0.000222222222222222,0.174666666666667,0.128333333333333
"Reactome Export of Viral Ribonucleoproteins from Nucleus",0,0.735,0.330625,0.070625,0.56375,0.831666666666667,0.0822916666666667,0.420833333333333,0.234791666666667,0,0.17875,0.204166666666667
"Reactome FCERI mediated Ca+2 mobilization",0,0.776111111111111,0.451296296296296,0.0511111111111111,0.422962962962963,0.895740740740741,0.082962962962963,0.571111111111111,0.636666666666667,0.000185185185185185,0.294259259259259,0.270555555555556
"Reactome FCERI mediated MAPK activation",0,0.815862068965517,0.386724137931034,0.0486206896551724,0.613448275862069,0.825172413793103,0.066551724137931,0.425172413793103,0.582068965517241,0.000172413793103448,0.299310344827586,0.185
"Reactome FCERI mediated NF-kB activation",0,0.704206349206349,0.25984126984127,0.0507936507936508,0.371984126984127,0.850396825396825,0.0826984126984127,0.388492063492063,0.304761904761905,0.00579365079365079,0.198253968253968,0.147301587301587
"Reactome Fc epsilon receptor (FCERI) signaling",0,0.733981481481481,0.295648148148148,0.0549074074074074,0.41462962962963,0.844351851851852,0.0823611111111111,0.429027777777778,0.399490740740741,0.00342592592592593,0.202037037037037,0.171759259259259
"Reactome Fcgamma receptor (FCGR) dependent phagocytosis",0,0.696232876712329,0.475342465753425,0.107808219178082,0.499041095890411,0.771986301369863,0.102123287671233,0.343287671232877,0.613698630136986,0.000547945205479452,0.313013698630137,0.147739726027397
"Reactome Formation of a pool of free 40S subunits",0,0.931442307692308,0.729519230769231,0.0218269230769231,0.655576923076923,0.721057692307692,0.0726923076923077,0.111923076923077,0.275480769230769,9.61538461538462e-05,0.158846153846154,0.121057692307692
"Reactome Formation of the beta-catenin:TCF transactivating complex",0,0.788809523809524,0.611190476190476,0.0276190476190476,0.559047619047619,0.92,0.0930952380952381,0.476428571428571,0.287619047619048,0.000238095238095238,0.177857142857143,0.142619047619048
"Reactome Formation of the ternary complex, and subsequently, the 43S complex",0,0.930606060606061,0.710454545454545,0.0368181818181818,0.618939393939394,0.754242424242424,0.0783333333333333,0.155454545454545,0.311969696969697,0.000151515151515152,0.160606060606061,0.104848484848485
"Reactome G alpha (12/13) signalling events",0,0.649777777777778,0.200111111111111,0.068,0.371222222222222,0.676111111111111,0.0686666666666667,0.369888888888889,0.475777777777778,0.000888888888888889,0.388444444444444,0.111888888888889
"Reactome GPVI-mediated activation cascade",0,0.672592592592593,0.273333333333333,0.0653703703703704,0.502037037037037,0.837037037037037,0.0566666666666667,0.428888888888889,0.66037037037037,0.000925925925925926,0.373333333333333,0.220185185185185
"Reactome GTP hydrolysis and joining of the 60S ribosomal subunit",0,0.900573770491803,0.655737704918033,0.0329508196721311,0.584098360655738,0.724590163934426,0.0821311475409836,0.116393442622951,0.279180327868852,8.19672131147541e-05,0.145409836065574,0.115491803278689
"Reactome Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation",0,0.850555555555556,0.637592592592593,0.0585185185185185,0.545925925925926,0.790555555555556,0.0664814814814815,0.417222222222222,0.555555555555556,0,0.315185185185185,0.18
"Reactome Generation of second messenger molecules",0,0.778478260869565,0.646304347826087,0.10195652173913,0.817826086956522,0.784347826086957,0.0456521739130435,0.472608695652174,0.716086956521739,0,0.330652173913043,0.239565217391304
"Reactome HIV Life Cycle",0,0.720867346938776,0.260918367346939,0.0563775510204082,0.429744897959184,0.722295918367347,0.095,0.397704081632653,0.32765306122449,0,0.203928571428571,0.146377551020408
"Reactome Host Interactions of HIV factors",0,0.711831683168317,0.268465346534653,0.0517326732673267,0.43970297029703,0.774356435643564,0.0874752475247525,0.368415841584158,0.323415841584158,0.00613861386138614,0.176930693069307,0.145247524752475
"Reactome IRAK4 deficiency (TLR2/4)",0,0.817,0.795,0.016,0.63,0.92,0.1865,0.8555,0.881,5e-04,0.178,0.166
"Reactome IkBA variant leads to EDA-ID",0,0.873571428571429,0.469285714285714,0.118571428571429,0.679285714285714,0.857857142857143,0.142142857142857,0.418571428571429,0.300714285714286,0.00642857142857143,0.14,0.299285714285714
"Reactome Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0,0.665069444444444,0.404444444444444,0.0557638888888889,0.4925,0.811736111111111,0.0704861111111111,0.552777777777778,0.525694444444444,0.008125,0.374375,0.217222222222222
"Reactome Inflammasomes",0,0.773823529411765,0.592352941176471,0.126176470588235,0.564705882352941,0.845588235294118,0.172058823529412,0.367647058823529,0.463823529411765,0.00147058823529412,0.373823529411765,0.159705882352941
"Reactome Influenza Life Cycle",0,0.794588235294118,0.482470588235294,0.0667058823529412,0.571176470588235,0.736823529411765,0.0787058823529412,0.241470588235294,0.233294117647059,5.88235294117647e-05,0.210058823529412,0.141705882352941
"Reactome Influenza Viral RNA Transcription and Replication",0,0.829415584415584,0.51461038961039,0.0511688311688312,0.591753246753247,0.737272727272727,0.0811038961038961,0.236688311688312,0.232272727272727,6.49350649350649e-05,0.19012987012987,0.136428571428571
"Reactome Interactions of Rev with host cellular proteins",0,0.718103448275862,0.319137931034483,0.0874137931034483,0.508965517241379,0.796896551724138,0.0712068965517241,0.366724137931034,0.25051724137931,0,0.171896551724138,0.186724137931034
"Reactome Interactions of Vpr with host cellular proteins",0,0.738888888888889,0.382037037037037,0.0627777777777778,0.622407407407407,0.720555555555556,0.0875925925925926,0.368888888888889,0.254444444444444,0,0.126851851851852,0.171481481481481
"Reactome Interferon Signaling",0,0.629858156028369,0.336276595744681,0.161914893617021,0.386241134751773,0.770886524822695,0.0796099290780142,0.368652482269504,0.412198581560284,0.00404255319148936,0.300709219858156,0.205744680851064
"Reactome Interferon alpha/beta signaling",0,0.585526315789474,0.290438596491228,0.236491228070175,0.282982456140351,0.778684210526316,0.0787719298245614,0.420614035087719,0.428333333333333,0.000175438596491228,0.334649122807018,0.295
"Reactome Interferon gamma signaling",0,0.64719696969697,0.333257575757576,0.156439393939394,0.353106060606061,0.745151515151515,0.0765909090909091,0.425151515151515,0.51969696969697,0.00863636363636364,0.354772727272727,0.248030303030303
"Reactome Interleukin receptor SHC signaling",0,0.6678,0.4114,0.1584,0.3832,0.7774,0.1012,0.4972,0.425,0.001,0.2988,0.1078
"Reactome Interleukin-1 family signaling",0,0.698990384615385,0.300480769230769,0.0527403846153846,0.404326923076923,0.772307692307692,0.0777884615384615,0.356538461538462,0.380336538461538,0.0130769230769231,0.218894230769231,0.124519230769231
"Reactome Interleukin-1 signaling",0,0.724430379746835,0.253670886075949,0.0550632911392405,0.388987341772152,0.812658227848101,0.0844303797468354,0.376835443037975,0.350379746835443,0.00462025316455696,0.195886075949367,0.121898734177215
"Reactome Interleukin-10 signaling",0.000125,0.781875,0.435375,0.031875,0.613,0.664,0.05525,0.399375,0.4735,0.000875,0.250875,0.0755
"Reactome Interleukin-12 signaling",0,0.756666666666667,0.546388888888889,0.0804166666666667,0.510833333333333,0.776805555555556,0.0629166666666667,0.426527777777778,0.495555555555556,0.00111111111111111,0.349444444444444,0.148888888888889
"Reactome Interleukin-15 signaling",0,0.870714285714286,0.615357142857143,0.227857142857143,0.626428571428571,0.756785714285714,0.0475,0.584642857142857,0.5575,0.000714285714285714,0.3675,0.129642857142857
"Reactome Interleukin-17 signaling",0,0.792307692307692,0.241634615384615,0.0218269230769231,0.473173076923077,0.778173076923077,0.0679807692307692,0.390961538461538,0.442884615384615,0.00644230769230769,0.274519230769231,0.0954807692307692
"Reactome Interleukin-2 family signaling",0,0.720375,0.46775,0.167375,0.43675,0.754375,0.0785,0.45875,0.459625,0.000875,0.283625,0.14925
"Reactome Interleukin-20 family signaling",0,0.887307692307692,0.500769230769231,0.248076923076923,0.620384615384615,0.783076923076923,0.0696153846153846,0.393076923076923,0.503076923076923,0.00192307692307692,0.249230769230769,0.208461538461538
"Reactome Interleukin-3, Interleukin-5 and GM-CSF signaling",0,0.777857142857143,0.412619047619048,0.153690476190476,0.490119047619048,0.794642857142857,0.0967857142857143,0.454166666666667,0.493095238095238,0.000595238095238095,0.278333333333333,0.130595238095238
"Reactome Interleukin-4 and Interleukin-13 signaling",5.15463917525773e-05,0.645927835051546,0.388505154639175,0.0818041237113402,0.47,0.692938144329897,0.0608762886597938,0.362783505154639,0.480051546391753,0.0011340206185567,0.255618556701031,0.103556701030928
"Reactome Intrinsic Pathway for Apoptosis",0,0.81425,0.35875,0.058,0.451375,0.825875,0.070375,0.45175,0.45775,0.002,0.2955,0.08325
"Reactome L13a-mediated translational silencing of Ceruloplasmin expression",0,0.90475,0.669666666666667,0.0208333333333333,0.580333333333333,0.7355,0.0834166666666667,0.118333333333333,0.271416666666667,8.33333333333333e-05,0.148083333333333,0.109583333333333
"Reactome Late Phase of HIV Life Cycle",0,0.700689655172414,0.238448275862069,0.0602873563218391,0.42235632183908,0.761494252873563,0.100344827586207,0.380402298850575,0.300402298850575,0,0.202528735632184,0.139080459770115
"Reactome MAP kinase activation",0,0.793510638297872,0.245531914893617,0.0241489361702128,0.499148936170213,0.783510638297872,0.0742553191489362,0.417872340425532,0.445,0.00712765957446809,0.28031914893617,0.104787234042553
"Reactome MAPK targets/ Nuclear events mediated by MAP kinases",0,0.755714285714286,0.269285714285714,0.0194642857142857,0.5975,0.80875,0.0528571428571429,0.502142857142857,0.475,0.00160714285714286,0.350178571428571,0.0832142857142857
"Reactome Macroautophagy",0,0.7645,0.3795,0.0797,0.437,0.8769,0.0596,0.3442,0.3399,3e-04,0.2655,0.1763
"Reactome Major pathway of rRNA processing in the nucleolus and cytosol",0,0.878421052631579,0.543894736842105,0.0234210526315789,0.582789473684211,0.749631578947368,0.0711578947368421,0.180631578947368,0.281842105263158,0.000263157894736842,0.144894736842105,0.184578947368421
"Reactome Mitochondrial biogenesis",0,0.800918367346939,0.427142857142857,0.0653061224489796,0.470816326530612,0.84734693877551,0.0781632653061224,0.367857142857143,0.314285714285714,0.000408163265306122,0.258163265306122,0.178571428571429
"Reactome Mitochondrial translation",0.000178571428571429,0.673839285714286,0.375625,0.0482142857142857,0.362857142857143,0.752946428571429,0.104017857142857,0.315,0.212767857142857,0,0.272321428571429,0.205892857142857
"Reactome Mitochondrial translation elongation",0.000181818181818182,0.667909090909091,0.382272727272727,0.0490909090909091,0.357,0.748454545454545,0.105818181818182,0.302636363636364,0.215454545454545,0,0.259090909090909,0.199454545454545
"Reactome Mitochondrial translation initiation",0.000185185185185185,0.662037037037037,0.371481481481481,0.042962962962963,0.357777777777778,0.754722222222222,0.101203703703704,0.319074074074074,0.218240740740741,0,0.281759259259259,0.201666666666667
"Reactome Mitochondrial translation termination",0.000188679245283019,0.655660377358491,0.378301886792453,0.0437735849056604,0.351603773584906,0.750094339622641,0.103018867924528,0.306320754716981,0.221132075471698,0,0.268207547169811,0.194905660377358
"Reactome Mitotic Prophase",0,0.652049180327869,0.366311475409836,0.0888524590163934,0.485573770491803,0.817950819672131,0.0723770491803279,0.42516393442623,0.412622950819672,0.000163934426229508,0.183196721311475,0.157704918032787
