"","HA_HB","HA_HI","HA_HL","HA_HS","HA_HT","HA_MA","HA_MB","HA_MI","HA_ML","HA_MS","HA_MT","HB_HI","HB_HL","HB_HS","HB_HT","HB_MA","HB_MB","HB_MI","HB_ML","HB_MS","HB_MT","HI_HL","HI_HS","HI_HT","HI_MA","HI_MB","HI_MI","HI_ML","HI_MS","HI_MT","HL_HS","HL_HT","HL_MA","HL_MB","HL_MI","HL_ML","HL_MS","HL_MT","HS_HT","HS_MA","HS_MB","HS_MI","HS_ML","HS_MS","HS_MT","HT_MA","HT_MB","HT_MI","HT_ML","HT_MS","HT_MT","MA_MB","MA_MI","MA_ML","MA_MS","MA_MT","MB_MI","MB_ML","MB_MS","MB_MT","MI_ML","MI_MS","MI_MT","ML_MS","ML_MT","MS_MT"
"KEGG Neurotrophin signaling pathway",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0297029702970297,0.0099009900990099,0.0099009900990099,0.0198019801980198,0.702970297029703,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.178217821782178,0.0198019801980198,0.0099009900990099,0.0495049504950495,0.495049504950495,0.237623762376238,0.0099009900990099,0.0099009900990099,0.0396039603960396,0.168316831683168,0.0099009900990099,1,0.455445544554455,0.0891089108910891,0.0099009900990099,0.0198019801980198,0.0495049504950495,0.0099009900990099,0.0495049504950495,0.653465346534653,0.0297029702970297,0.0396039603960396,0.0297029702970297,0.0099009900990099,0.0792079207920792,0.702970297029703,0.0495049504950495,0.326732673267327,0.287128712871287,0.0297029702970297,0.96039603960396,0.811881188118812,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0198019801980198,0.118811881188119,1,0.0099009900990099,1,1,0.0594059405940594
"KEGG Insulin signaling pathway",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.316831683168317,0.0297029702970297,0.0099009900990099,1,0.584158415841584,0.396039603960396,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0396039603960396,0.0297029702970297,0.0099009900990099,1,0.643564356435644,0.574257425742574,0.0198019801980198,0.0099009900990099,0.128712871287129,0.0099009900990099,0.0099009900990099,1,0.287128712871287,0.0099009900990099,0.0099009900990099,0.148514851485149,0.0297029702970297,0.0099009900990099,1,0.396039603960396,0.108910891089109,0.277227722772277,0.0099009900990099,0.0099009900990099,1,0.683168316831683,0.475247524752475,0.257425742574257,0.0297029702970297,1,0.346534653465347,1,0.0594059405940594,1,0.0297029702970297,0.0198019801980198,1,1,0.534653465346535,1,1,0.683168316831683
"KEGG Chagas disease (American trypanosomiasis)",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0297029702970297,0.0099009900990099,0.0099009900990099,0.0396039603960396,0.702970297029703,0.346534653465347,0.0396039603960396,0.0099009900990099,0.0099009900990099,0.0594059405940594,0.0099009900990099,0.0099009900990099,0.0198019801980198,0.346534653465347,0.267326732673267,0.138613861386139,0.0099009900990099,0.277227722772277,0.504950495049505,0.356435643564356,0.0495049504950495,0.584158415841584,0.306930693069307,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0495049504950495,0.594059405940594,0.0198019801980198,0.0792079207920792,0.0099009900990099,0.0099009900990099,0.138613861386139,0.435643564356436,0.554455445544555,0.0198019801980198,0.0396039603960396,0.0198019801980198,0.831683168316832,1,0.0099009900990099,0.0099009900990099,0.673267326732673,0.0792079207920792,0.0396039603960396,1,0.0891089108910891,1,0.138613861386139,0.910891089108911
"KEGG Toxoplasmosis",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0396039603960396,0.0099009900990099,0.0099009900990099,0.0594059405940594,0.435643564356436,0.0198019801980198,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0297029702970297,0.0099009900990099,0.0099009900990099,0.099009900990099,0.683168316831683,0.237623762376238,0.0396039603960396,0.0099009900990099,0.277227722772277,0.138613861386139,0.138613861386139,0.0297029702970297,0.574257425742574,0.128712871287129,0.0099009900990099,0.0396039603960396,0.0099009900990099,0.0099009900990099,0.0297029702970297,0.97029702970297,0.0198019801980198,0.099009900990099,0.0099009900990099,0.0099009900990099,0.158415841584158,0.712871287128713,0.0198019801980198,0.0693069306930693,0.148514851485149,0.0693069306930693,0.603960396039604,1,0.0099009900990099,0.0396039603960396,0.0594059405940594,0.0099009900990099,0.0396039603960396,0.891089108910891,0.0099009900990099,1,0.158415841584158,0.0297029702970297
"KEGG Hepatitis C",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0396039603960396,0.346534653465347,0.247524752475248,0.0693069306930693,0.0099009900990099,0.0099009900990099,0.108910891089109,0.0495049504950495,0.0099009900990099,0.0594059405940594,0.594059405940594,0.920792079207921,0.0297029702970297,0.0099009900990099,0.0099009900990099,0.267326732673267,0.0396039603960396,0.128712871287129,0.435643564356436,0.0198019801980198,0.0099009900990099,0.0198019801980198,0.0198019801980198,0.0099009900990099,0.0792079207920792,0.821782178217822,0.148514851485149,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0693069306930693,0.158415841584158,0.0198019801980198,0.0792079207920792,0.0099009900990099,0.0396039603960396,0.99009900990099,0.772277227722772,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.099009900990099,0.97029702970297,0.683168316831683,1,1,0.0099009900990099
"KEGG Colorectal cancer",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0495049504950495,0.0099009900990099,0.0099009900990099,0.732673267326733,0.0198019801980198,0.0099009900990099,1,0.673267326732673,0.0891089108910891,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.198019801980198,0.0099009900990099,0.0099009900990099,1,0.534653465346535,0.356435643564356,0.118811881188119,0.0495049504950495,0.475247524752475,0.574257425742574,0.0594059405940594,1,0.396039603960396,0.851485148514851,0.0099009900990099,0.396039603960396,0.0099009900990099,0.0099009900990099,1,0.603960396039604,0.0693069306930693,0.514851485148515,0.0099009900990099,0.0099009900990099,1,0.475247524752475,0.0297029702970297,0.237623762376238,0.594059405940594,1,0.247524752475248,0.97029702970297,0.0198019801980198,1,0.158415841584158,0.0396039603960396,1,0.881188118811881,0.0693069306930693,1,1,0.326732673267327
"KEGG Renal cell carcinoma",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.554455445544555,0.0396039603960396,0.0099009900990099,1,0.287128712871287,0.227722772277228,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.554455445544555,0.0792079207920792,0.0099009900990099,1,0.811881188118812,0.683168316831683,0.0693069306930693,0.0099009900990099,0.099009900990099,0.198019801980198,0.118811881188119,1,0.247524752475248,0.227722772277228,0.0099009900990099,0.277227722772277,0.326732673267327,0.0099009900990099,1,0.188118811881188,0.633663366336634,0.524752475247525,0.0792079207920792,0.0198019801980198,1,0.811881188118812,0.425742574257426,0.0495049504950495,0.108910891089109,1,0.544554455445545,0.98019801980198,0.0099009900990099,1,0.118811881188119,0.0891089108910891,1,0.712871287128713,0.0297029702970297,1,1,0.742574257425743
"KEGG Pancreatic cancer",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0495049504950495,0.0099009900990099,0.0099009900990099,0.158415841584158,0.168316831683168,0.0099009900990099,0.188118811881188,0.0297029702970297,0.128712871287129,0.0297029702970297,0.0099009900990099,0.0099009900990099,0.524752475247525,0.0495049504950495,0.0099009900990099,1,0.495049504950495,0.871287128712871,0.0396039603960396,0.0297029702970297,0.217821782178218,0.445544554455446,0.0297029702970297,1,0.445544554455446,0.722772277227723,0.0099009900990099,0.0693069306930693,0.178217821782178,0.0099009900990099,0.178217821782178,0.544554455445545,0.158415841584158,0.326732673267327,0.0396039603960396,0.0099009900990099,0.306930693069307,0.188118811881188,0.168316831683168,0.574257425742574,0.603960396039604,0.128712871287129,0.405940594059406,0.99009900990099,0.099009900990099,1,0.227722772277228,0.118811881188119,1,0.693069306930693,0.396039603960396,1,1,0.0198019801980198
"KEGG Endometrial cancer",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.673267326732673,0.0099009900990099,0.0099009900990099,1,0.514851485148515,0.0396039603960396,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.376237623762376,0.0792079207920792,0.0099009900990099,1,0.495049504950495,0.178217821782178,0.0297029702970297,0.0396039603960396,0.099009900990099,0.217821782178218,0.158415841584158,1,0.128712871287129,0.198019801980198,0.0099009900990099,0.524752475247525,0.0198019801980198,0.0099009900990099,1,0.297029702970297,0.108910891089109,0.811881188118812,0.0099009900990099,0.0099009900990099,1,0.376237623762376,0.0297029702970297,0.653465346534653,0.504950495049505,1,0.98019801980198,0.841584158415842,0.0099009900990099,1,0.0396039603960396,0.0594059405940594,1,0.792079207920792,0.0198019801980198,1,1,0.534653465346535
"KEGG Glioma",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0891089108910891,0.0198019801980198,0.0099009900990099,1,0.425742574257426,0.306930693069307,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.207920792079208,0.128712871287129,0.0099009900990099,1,0.534653465346535,0.405940594059406,0.0693069306930693,0.0297029702970297,0.128712871287129,0.138613861386139,0.0297029702970297,1,0.099009900990099,0.168316831683168,0.0099009900990099,0.376237623762376,0.118811881188119,0.0099009900990099,1,0.207920792079208,0.514851485148515,0.0792079207920792,0.0099009900990099,0.0099009900990099,1,0.554455445544555,0.554455445544555,0.0891089108910891,0.0198019801980198,1,1,0.366336633663366,0.0297029702970297,1,0.0693069306930693,0.0594059405940594,1,0.821782178217822,0.653465346534653,1,1,0.138613861386139
"KEGG Prostate cancer",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.108910891089109,0.0396039603960396,0.0099009900990099,0.0792079207920792,0.544554455445545,0.623762376237624,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.475247524752475,0.0297029702970297,0.0099009900990099,0.108910891089109,0.514851485148515,0.594059405940594,0.0198019801980198,0.0099009900990099,0.158415841584158,0.316831683168317,0.0099009900990099,1,0.148514851485149,0.0594059405940594,0.0099009900990099,0.0495049504950495,0.0198019801980198,0.0099009900990099,0.0693069306930693,0.534653465346535,0.465346534653465,0.118811881188119,0.0099009900990099,0.0099009900990099,0.108910891089109,0.425742574257426,0.425742574257426,0.0297029702970297,0.108910891089109,0.108910891089109,0.99009900990099,0.455445544554455,0.0099009900990099,0.0792079207920792,0.247524752475248,0.0693069306930693,0.0693069306930693,0.99009900990099,0.514851485148515,1,1,0.742574257425743
"KEGG Chronic myeloid leukemia",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0792079207920792,0.0099009900990099,0.0099009900990099,0.118811881188119,0.118811881188119,0.0396039603960396,0.0297029702970297,0.0099009900990099,0.0099009900990099,0.277227722772277,0.0198019801980198,0.0099009900990099,0.0792079207920792,0.277227722772277,0.693069306930693,0.0099009900990099,0.0099009900990099,0.138613861386139,0.148514851485149,0.0891089108910891,1,0.198019801980198,0.178217821782178,0.0099009900990099,0.0891089108910891,0.0099009900990099,0.0099009900990099,0.0396039603960396,0.247524752475248,0.168316831683168,0.227722772277228,0.0099009900990099,0.0099009900990099,0.128712871287129,0.128712871287129,0.0495049504950495,0.168316831683168,0.0297029702970297,0.099009900990099,0.782178217821782,0.683168316831683,0.0297029702970297,0.108910891089109,0.0198019801980198,0.0198019801980198,0.099009900990099,0.900990099009901,0.148514851485149,1,1,0.0396039603960396
"KEGG Acute myeloid leukemia",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0594059405940594,0.0099009900990099,0.0099009900990099,0.198019801980198,0.306930693069307,0.653465346534653,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.227722772277228,0.0099009900990099,0.0099009900990099,1,0.554455445544555,0.861386138613861,0.0297029702970297,0.0099009900990099,0.0396039603960396,0.178217821782178,0.0495049504950495,1,0.188118811881188,0.178217821782178,0.0099009900990099,0.128712871287129,0.0198019801980198,0.0099009900990099,0.148514851485149,0.257425742574257,0.594059405940594,0.198019801980198,0.0198019801980198,0.0099009900990099,0.0693069306930693,0.475247524752475,0.801980198019802,0.564356435643564,0.534653465346535,0.0495049504950495,0.99009900990099,0.95049504950495,0.0099009900990099,1,0.168316831683168,0.0396039603960396,1,0.811881188118812,0.613861386138614,1,1,0.603960396039604
"KEGG Non-small cell lung cancer",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.415841584158416,0.0396039603960396,0.0099009900990099,1,0.267326732673267,0.217821782178218,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.227722772277228,0.158415841584158,0.0099009900990099,1,0.524752475247525,0.554455445544555,0.0198019801980198,0.0396039603960396,0.178217821782178,0.138613861386139,0.0891089108910891,1,0.168316831683168,0.118811881188119,0.0099009900990099,0.227722772277228,0.297029702970297,0.0099009900990099,1,0.287128712871287,0.445544554455446,0.386138613861386,0.0396039603960396,0.0099009900990099,1,0.326732673267327,0.277227722772277,0.554455445544555,0.0891089108910891,1,0.752475247524752,0.782178217821782,0.227722772277228,1,0.0297029702970297,0.0594059405940594,1,0.732673267326733,0.366336633663366,1,1,0.178217821782178
"KEGG RNA transport",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,1,0.306930693069307,0.0396039603960396,1,0.0792079207920792,0.0099009900990099,0.118811881188119,0.0099009900990099,0.0099009900990099,0.831683168316832,0.653465346534653,0.0099009900990099,1,0.584158415841584,0.0297029702970297,0.0495049504950495,0.0495049504950495,0.831683168316832,0.356435643564356,0.0495049504950495,1,0.198019801980198,0.0594059405940594,0.0099009900990099,1,0.336633663366337,0.0297029702970297,1,0.148514851485149,0.0099009900990099,1,0.178217821782178,0.504950495049505,1,0.099009900990099,0.0693069306930693,0.227722772277228,0.346534653465347,1,1,1,0.316831683168317,1,0.287128712871287,0.277227722772277,1,0.623762376237624,0.0594059405940594,1,1,0.415841584158416
"KEGG Phagosome",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0495049504950495,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0495049504950495,0.782178217821782,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0396039603960396,0.99009900990099,0.138613861386139,0.297029702970297,0.0099009900990099,0.108910891089109,0.198019801980198,0.178217821782178,0.0099009900990099,0.762376237623762,0.237623762376238,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0891089108910891,0.97029702970297,0.0693069306930693,0.0297029702970297,0.0099009900990099,0.0099009900990099,0.0693069306930693,0.920792079207921,0.0099009900990099,0.0297029702970297,0.0099009900990099,0.0792079207920792,0.98019801980198,0.0891089108910891,0.0099009900990099,0.0495049504950495,0.277227722772277,0.0693069306930693,0.0297029702970297,0.98019801980198,0.0297029702970297,1,0.168316831683168,0.099009900990099
"KEGG Antigen processing and presentation",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.485148514851485,0.0099009900990099,0.0099009900990099,0.821782178217822,0.0099009900990099,0.0099009900990099,0.227722772277228,0.217821782178218,0.0099009900990099,0.118811881188119,0.0099009900990099,0.0297029702970297,0.782178217821782,0.0099009900990099,0.0099009900990099,0.0198019801980198,0.158415841584158,0.0198019801980198,0.237623762376238,0.0198019801980198,0.0693069306930693,0.435643564356436,0.0594059405940594,1,0.178217821782178,0.178217821782178,0.0099009900990099,0.683168316831683,0.0099009900990099,0.0099009900990099,0.128712871287129,0.227722772277228,0.118811881188119,0.891089108910891,0.0495049504950495,0.0495049504950495,0.277227722772277,0.306930693069307,0.0099009900990099,0.188118811881188,0.455445544554455,1,0.267326732673267,0.455445544554455,0.0099009900990099,1,0.0594059405940594,0.128712871287129,0.0099009900990099,0.534653465346535,0.0198019801980198,1,1,0.0198019801980198
